INFO 2025-08-11 19:09:26,516 basehttp 21768 7316 "GET /admin/ HTTP/1.1" 200 24114
INFO 2025-08-11 19:09:26,545 basehttp 21768 7316 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-08-11 19:09:36,864 basehttp 21768 7316 "GET /admin/store/customer/ HTTP/1.1" 200 26276
INFO 2025-08-11 19:09:36,889 basehttp 21768 7316 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6811
INFO 2025-08-11 19:09:36,907 basehttp 21768 24420 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-08-11 19:09:36,907 basehttp 21768 20984 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-08-11 19:09:36,908 basehttp 21768 17284 "GET /static/admin/js/actions.js HTTP/1.1" 200 8067
INFO 2025-08-11 19:09:36,922 basehttp 21768 24420 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-08-11 19:09:36,955 basehttp 21768 20984 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-08-11 19:09:36,955 basehttp 21768 4856 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9042
INFO 2025-08-11 19:09:36,958 basehttp 21768 7316 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-11 19:09:36,998 basehttp 21768 24164 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-08-11 19:09:37,009 basehttp 21768 24164 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-08-11 19:09:37,123 basehttp 21768 17284 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-08-11 19:09:37,156 basehttp 21768 17284 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-08-11 19:09:40,094 basehttp 21768 17284 "GET /admin/store/orderitem/ HTTP/1.1" 200 26412
INFO 2025-08-11 19:09:40,130 basehttp 21768 17284 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-11 19:09:41,628 basehttp 21768 17284 "GET /admin/store/product/ HTTP/1.1" 200 27289
INFO 2025-08-11 19:09:41,672 basehttp 21768 17284 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-11 19:09:58,565 basehttp 21768 17284 "GET /admin/store/product/ HTTP/1.1" 200 62787
INFO 2025-08-11 19:09:58,597 basehttp 21768 17284 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-11 19:10:06,813 basehttp 21768 5760 "GET / HTTP/1.1" 200 94284
WARNING 2025-08-11 19:10:06,867 log 21768 5760 Not Found: /media/https:/picsum.photos/400/400?random=1
WARNING 2025-08-11 19:10:06,868 basehttp 21768 5760 "GET /media/https%3A/picsum.photos/400/400%3Frandom%3D1 HTTP/1.1" 404 6741
INFO 2025-08-11 19:10:06,872 basehttp 21768 5760 "GET /static/css/store.css HTTP/1.1" 304 0
WARNING 2025-08-11 19:10:06,887 log 21768 5760 Not Found: /media/https:/picsum.photos/400/400?random=2
WARNING 2025-08-11 19:10:06,889 basehttp 21768 5760 "GET /media/https%3A/picsum.photos/400/400%3Frandom%3D2 HTTP/1.1" 404 6741
WARNING 2025-08-11 19:10:06,903 log 21768 5760 Not Found: /media/https:/picsum.photos/400/400?random=5
WARNING 2025-08-11 19:10:06,903 basehttp 21768 5760 "GET /media/https%3A/picsum.photos/400/400%3Frandom%3D5 HTTP/1.1" 404 6741
WARNING 2025-08-11 19:10:06,912 log 21768 5760 Not Found: /media/https:/picsum.photos/400/400?random=6
WARNING 2025-08-11 19:10:06,912 basehttp 21768 5760 "GET /media/https%3A/picsum.photos/400/400%3Frandom%3D6 HTTP/1.1" 404 6741
WARNING 2025-08-11 19:10:06,920 log 21768 5760 Not Found: /media/https:/picsum.photos/400/400?random=9
WARNING 2025-08-11 19:10:06,920 basehttp 21768 5760 "GET /media/https%3A/picsum.photos/400/400%3Frandom%3D9 HTTP/1.1" 404 6741
INFO 2025-08-11 19:10:06,922 basehttp 21768 5760 "GET /static/js/main.js HTTP/1.1" 304 0
WARNING 2025-08-11 19:10:06,931 log 21768 5760 Not Found: /media/https:/picsum.photos/400/400?random=10
WARNING 2025-08-11 19:10:06,931 basehttp 21768 5760 "GET /media/https%3A/picsum.photos/400/400%3Frandom%3D10 HTTP/1.1" 404 6745
WARNING 2025-08-11 19:10:06,942 log 21768 5760 Not Found: /media/https:/picsum.photos/400/400?random=13
WARNING 2025-08-11 19:10:06,943 basehttp 21768 5760 "GET /media/https%3A/picsum.photos/400/400%3Frandom%3D13 HTTP/1.1" 404 6745
WARNING 2025-08-11 19:10:06,950 log 21768 5760 Not Found: /media/https:/picsum.photos/400/400?random=14
WARNING 2025-08-11 19:10:06,951 basehttp 21768 5760 "GET /media/https%3A/picsum.photos/400/400%3Frandom%3D14 HTTP/1.1" 404 6745
